EpochTime;CurrentPlaybackTime;CurrentBufferSize;CurrentPlaybackState;Action;Bitrate
0;0;0;INITIAL_BUFFERING;Starting;0
0;0;0;INITIAL_BUFFERING;Starting;0
0;0;1;INITIAL_BUFFERING;Writing;4129868
0;0;1;PLAY;InitialBuffering-Play;0
1;0;0;PLAY;StillPlaying;4129868
511;0;1;PLAY;Writing;4129868.0
1045;1;2;PLAY;Writing;4129868.0
1564;1;3;PLAY;Writing;4129868.0
2116;2;4;PLAY;Writing;4129868.0
2639;2;5;PLAY;Writing;4129868.0
3166;3;6;PLAY;Writing;4129868.0
3694;3;7;PLAY;Writing;4129868.0
4001;4;6;PLAY;StillPlaying;4129868.0
4238;4;7;PLAY;Writing;4129868.0
4751;4;8;PLAY;Writing;4129868.0
5278;5;9;PLAY;Writing;4129868.0
5802;5;10;PLAY;Writing;4129868.0
6320;6;11;PLAY;Writing;4129868.0
8001;8;10;PLAY;StillPlaying;4129868.0
10843;10;11;PLAY;Writing;4129868.0
12001;12;10;PLAY;StillPlaying;4129868.0
15385;15;11;PLAY;Writing;4129868.0
16001;16;10;PLAY;StillPlaying;4129868.0
19919;19;11;PLAY;Writing;4129868.0
20001;20;10;PLAY;StillPlaying;4129868.0
24001;24;9;PLAY;StillPlaying;4129868.0
24452;24;10;PLAY;Writing;4129868.0
24963;24;11;PLAY;Writing;4129868.0
28001;28;10;PLAY;StillPlaying;4129868.0
29478;29;11;PLAY;Writing;4129868.0
32001;32;10;PLAY;StillPlaying;4129868.0
34000;33;11;PLAY;Writing;4129868.0
36001;36;10;PLAY;StillPlaying;4129868.0
